userAlias,userLocation,formattedDateAndTime,voteCount,id,userIdentifier,hasProfilePicture,voteRating,dateCreated,message
Al Caholick,"Manchester, United Kingdom",moments ago,2,1215250037,5290431,True,0,2023-11-20T13:04:48.986Z,The governments AKA tax man are the real criminals their nothing more the bandits in suits 
Do_you_Meme_Me,"Meme, United States",moments ago,7,1215249935,1695203792736052,False,3,2023-11-20T13:04:16.416Z,I don't blame her.... screw taxes.
Tomgree,"Oxford, United Kingdom",moments ago,1,1215250183,1582189951129552,False,1,2023-11-20T13:05:33.646Z,Rich people screw taxes all the time and mainly get away with it. My so much is plebs who you seem to be mocking.
debs1000,"Grimsby Ontario , Canada",moments ago,8,1215249911,1595936665852851,False,6,2023-11-20T13:04:10.019Z,Amazing how she is worth that much money ! 
revd.shaun,"Manchester, United Kingdom",moments ago,4,1215249893,1393120519696272,False,2,2023-11-20T13:04:06.397Z,"Do the crime do the time, unless your rich of course then you just buy the time."
ronramone,"Ipswich_MA_USA, United States",moments ago,11,1215249853,3178328,False,11,2023-11-20T13:03:55.624Z,She'll do a couple of private concerts in the Middle East to make that up.
James GG,"Home, United States",moments ago,5,1215249763,5530663,True,5,2023-11-20T13:03:30.477Z,In America you can buy your freedom with money if you're rich.
Groveoftheancients,"Bath, United States",moments ago,3,1215249685,1664405728640682,False,-1,2023-11-20T13:03:11.097Z,Well done
MattH,"Cheltenham, United Kingdom",moments ago,9,1215249565,4648190,False,7,2023-11-20T13:02:38.851Z,A deal was always going to be done. There was more chance of me going to jail for being involved in the Gunpowder Plot (I have a very solid alibi) than there ever was of her getting locked up. Money talks at the end of the day.
Mikhar,"Downham Market, United Kingdom",moments ago,10,1215249543,1592902442145731,False,8,2023-11-20T13:02:34.177Z,Leftie lovey not paying her taxes. Who'd a thought it?
Ge0ffrey,"Somewhere, United States",moments ago,9,1215249505,4186923,False,9,2023-11-20T13:02:23.201Z,"Apparently, only her hips don't lie."
